[0707/090556:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/111427:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/111828:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/112011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/112038:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/123559:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/125857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/131429:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0707/184257:ERROR:file_io.cc(30)] read: expected 4, observed 0
